epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8678,1.44726,2.45068,1.62755,0.00863,0.72662,0.08274,0.0284,1.99853,3.27041,2.32269,0.00019,0.00019,0.08119
2,51.5242,1.38639,2.13055,1.58416,0.02426,0.51079,0.13177,0.04605,1.82317,3.11128,2.25234,0.000386139,0.000386139,0.0613861
3,79.1803,1.40737,1.99577,1.57957,0.30823,0.27338,0.17961,0.08383,1.50825,2.61508,1.77631,0.000578318,0.000578318,0.0415783
4,106.715,1.43825,1.95745,1.60141,0.50243,0.28058,0.26825,0.1233,1.50146,2.80128,1.79461,0.000766537,0.000766537,0.0217665
5,134.094,1.41216,1.88277,1.59961,0.49338,0.34532,0.30096,0.15115,1.46386,2.7117,1.75485,0.000950796,0.000950796,0.0019508
6,161.323,1.31066,1.79318,1.51296,0.46129,0.35252,0.29934,0.16257,1.48552,2.54633,1.72611,0.0009505,0.0009505,0.0009505
7,187.799,1.39737,1.8805,1.5984,0.43576,0.41116,0.34995,0.15461,1.46866,2.53644,1.74606,0.0009406,0.0009406,0.0009406
8,213.439,1.33046,1.75607,1.53935,0.52284,0.42446,0.42745,0.21197,1.42019,2.80128,1.65932,0.0009307,0.0009307,0.0009307
9,239.269,1.34515,1.76078,1.5256,0.56211,0.44604,0.45007,0.21219,1.44184,2.21396,1.78519,0.0009208,0.0009208,0.0009208
10,261.509,1.34308,1.7367,1.55898,0.5747,0.39568,0.42506,0.21726,1.50027,2.13064,1.75472,0.0009109,0.0009109,0.0009109
11,287.725,1.27813,1.66576,1.48675,0.57705,0.38281,0.41894,0.2159,1.54506,2.127,1.73705,0.000901,0.000901,0.000901
12,311.72,1.29851,1.68291,1.54531,0.57612,0.35202,0.4077,0.20317,1.5832,2.18637,1.74032,0.0008911,0.0008911,0.0008911
13,337.309,1.30205,1.63112,1.50305,0.50552,0.38129,0.41327,0.2175,1.51226,2.31621,1.73751,0.0008812,0.0008812,0.0008812
14,364.843,1.35114,1.65552,1.54077,0.46536,0.45324,0.41158,0.2242,1.4884,2.27152,1.75248,0.0008713,0.0008713,0.0008713
15,389.841,1.24317,1.57866,1.46768,0.54057,0.44864,0.42556,0.21763,1.55693,1.85362,1.70637,0.0008614,0.0008614,0.0008614
16,414.76,1.28707,1.60335,1.46115,0.52838,0.48201,0.45467,0.23233,1.49216,1.93386,1.68465,0.0008515,0.0008515,0.0008515
17,439.519,1.24616,1.53415,1.47774,0.60691,0.47764,0.53149,0.30405,1.39336,1.7904,1.63995,0.0008416,0.0008416,0.0008416
18,464.404,1.26559,1.6031,1.48479,0.77673,0.43885,0.55233,0.29112,1.43858,1.73656,1.66471,0.0008317,0.0008317,0.0008317
19,490.259,1.28098,1.53105,1.49993,0.55219,0.52341,0.51921,0.30237,1.36958,1.76471,1.61578,0.0008218,0.0008218,0.0008218
20,516.211,1.23415,1.50017,1.46172,0.58579,0.53925,0.55488,0.30949,1.32342,1.67663,1.57215,0.0008119,0.0008119,0.0008119
21,541.768,1.2904,1.59153,1.49531,0.64766,0.43642,0.47987,0.24851,1.43741,1.85632,1.66581,0.000802,0.000802,0.000802
22,565.936,1.2123,1.46569,1.44862,0.63167,0.46043,0.52877,0.28201,1.3965,1.73945,1.63679,0.0007921,0.0007921,0.0007921
23,589.882,1.21956,1.49437,1.4277,0.60184,0.51799,0.54826,0.30526,1.3513,1.70956,1.61998,0.0007822,0.0007822,0.0007822
24,614.213,1.19998,1.43895,1.43642,0.6291,0.47482,0.53349,0.28399,1.35997,1.69481,1.59528,0.0007723,0.0007723,0.0007723
25,638.068,1.12496,1.36875,1.37156,0.69175,0.43165,0.51916,0.30707,1.34849,1.66943,1.5975,0.0007624,0.0007624,0.0007624
26,662.506,1.17745,1.43424,1.41691,0.56628,0.46763,0.48802,0.27726,1.31856,1.71745,1.55862,0.0007525,0.0007525,0.0007525
27,687.629,1.17107,1.41925,1.40403,0.60818,0.50252,0.54973,0.3221,1.30815,1.62453,1.55627,0.0007426,0.0007426,0.0007426
28,713.656,1.15681,1.35856,1.39602,0.76004,0.52518,0.60239,0.34486,1.30339,1.50272,1.538,0.0007327,0.0007327,0.0007327
29,738.29,1.15052,1.39281,1.38732,0.66128,0.46763,0.56015,0.31777,1.35337,1.53139,1.52425,0.0007228,0.0007228,0.0007228
30,762.126,1.11785,1.4141,1.37171,0.5713,0.58993,0.58482,0.34142,1.33114,1.48964,1.52752,0.0007129,0.0007129,0.0007129
31,786.21,1.11149,1.38842,1.35526,0.55103,0.52097,0.53415,0.28924,1.34809,1.63024,1.58918,0.000703,0.000703,0.000703
32,810.731,1.13066,1.37665,1.37578,0.54402,0.46351,0.48758,0.26113,1.39282,1.70707,1.59526,0.0006931,0.0006931,0.0006931
33,834.298,1.08774,1.3239,1.34296,0.67511,0.46763,0.5396,0.29017,1.39959,1.59348,1.56447,0.0006832,0.0006832,0.0006832
34,858.146,1.13449,1.39479,1.37243,0.68257,0.48921,0.55645,0.31218,1.36398,1.54709,1.56818,0.0006733,0.0006733,0.0006733
35,882.095,1.19149,1.39016,1.41575,0.63964,0.48527,0.57512,0.32645,1.30756,1.50988,1.54208,0.0006634,0.0006634,0.0006634
36,905.758,1.08059,1.30734,1.37717,0.58912,0.52608,0.54379,0.3184,1.3248,1.54395,1.55834,0.0006535,0.0006535,0.0006535
37,929.487,1.10802,1.28,1.34471,0.67498,0.53787,0.57034,0.32682,1.35374,1.59701,1.56739,0.0006436,0.0006436,0.0006436
38,953.621,1.13264,1.33442,1.38067,0.60833,0.53237,0.55132,0.33313,1.3063,1.55734,1.51841,0.0006337,0.0006337,0.0006337
39,977.924,1.06653,1.26708,1.35199,0.64434,0.52518,0.54796,0.31547,1.359,1.56526,1.59234,0.0006238,0.0006238,0.0006238
